,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
44,Napa,,,4.5,,"Carrer d'Aribau, 151","Carrer d'Aribau, 151, 08036 Barcelona, Spain",41.3925633,2.1534566
45,En Diagonal Bar,,€10 - €40,4.5,,"Avenida Diagonal, 310","En Diagonal Bar, Avinguda Diagonal, 310, 08013 Barcelona, Spain",41.4010072,2.1761471
46,Garden Pizza by Rafa Panatieri,,€20 - €35,5.0,,Carrer Encarnacio,"Catalonia, Spain",41.66667,2.0
47,Terrazza Ravello,,€18 - €40,4.5,,"Plaza Pau Vila, 1","Plaça Pau Vila, Pas Subterrani a la Platja, 08340 Vilassar de Mar, Spain",41.503278,2.3946612
48,Tosca del Carme,,,4.5,,Carrer de Carme 40,"Carrer de Carme, 08786 la Torre de Claramunt, Spain",41.5371081,1.6595797
49,Paz 19 by Sensi Tapas Bar,,,4.5,,Carrer de Josep Anselm Clave 19,"Carrer de Josep Anselm Clave, 19, 08921 Santa Coloma de Gramenet, Spain",41.4528719,2.2087605
50,Agust Gastrobar,,,4.5,,Carrer Parlament 54,"Carrer del Parlament, 08015 Barcelona, Spain",41.3758931,2.161805
51,"Osteria da Rudy. Restaurante, Pizzeria",,€25 - €30,5.0,,"St. Muntaner, 113","el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
52,El Salon,,,4.5,,"Carrer de l'Hostal d'en Sol,6","El Salón, Carrer de l'Hostal d'en Sol, 6, 08002 Barcelona, Spain",41.3817746,2.1800492
53,Uma,,,5.0,,"Carrer de Mallorca, 275","Restaurant UMA, Carrer de Mallorca, 275, 08037 Barcelona, Spain",41.3947417,2.1635923
54,La Peninsular,,,4.5,,"C/ del Mar, 29","@mar, Carrer de Pallars, 08005 Barcelona, Spain",41.4013461,2.1976475
55,9 Nine,,,4.5,,Carrer Valencia 334,"Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
56,La Deliciosa,,,4.5,,Paseo Maritimo de Barceloneta S/N,"Catalonia, Spain",41.66667,2.0
57,Delirio,,€15 - €30,4.5,,Banys Nous 8,"Stoke, Carrer dels Banys Nous, 8, 08002 Barcelona, Spain",41.3821413,2.175238
58,Pizza Pazza,,€2 - €10,4.5,,Carrer Ample 44,"La Pizza Pazza, Carrer Ample, 44, 08002 Barcelona, Spain",41.3808945,2.1803735
59,Somewhere Aribau,,,4.5,,Aribau 101,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
60,Swagatam Bar-Restaurant Hindu,,,4.5,,"Carrer de Sant Agusti, 10","Swagatam, Carrer de Sant Agustí, 10, 08012 Barcelona, Spain",41.3982888,2.1607353
61,Clemen' s Boqueria,,,4.5,,Las Ramblas 89,"Barcelona, Catalonia, Spain",41.3828939,2.1774322
62,Sensi Bistro Barcelona,,€25 - €50,4.5,,Carrer del Regomir 4,"Sensi bistro, Carrer del Regomir, 4, 08002 Barcelona, Spain",41.3814609,2.1789786
