code,name
01,Ciutat Vella
02,Eixample
03,Sants-Montjuïc
04,Les Corts
05,Sarrià-Sant Gervasi
06,Gràcia
07,Horta-Guinardó
08,Nou Barris
09,Sant Andreu
10,Sant Martí
